trip_id,shape_id
12196967,855_1_23
12196968,855_1_23
12196969,855_1_23
12196970,855_1_23
12196971,855_1_23
12196972,855_1_23
12196973,855_1_23
12196976,856_0_89
12196992,856_0_89
12196978,856_0_89
12196994,856_0_89
12196980,856_0_89
12196996,856_0_89
12196982,856_0_89
12196998,856_0_89
12196984,856_0_89
12197000,856_0_89
12196986,856_0_89
12197002,856_0_89
12196988,856_0_89
12197004,856_0_89
12196990,856_0_89
12197006,856_0_89
12196977,856_1_93
12196993,856_1_93
12196979,856_1_93
12196995,856_1_93
12196981,856_1_93
12196997,856_1_93
12196983,856_1_93
12196999,856_1_93
12196985,856_1_93
12197001,856_1_93
12196987,856_1_93
12197003,856_1_93
12196989,856_1_93
12197005,856_1_93
12196991,856_1_94
12197007,856_1_94
12197074,864_2_147
12197063,864_2_147
12197087,864_2_147
12197076,864_2_147
12197065,864_2_147
12197089,864_2_147
12197078,864_2_147
12197067,864_2_147
12197091,864_2_147
12197080,864_2_147
12197069,864_2_147
12197093,864_2_147
12197082,864_2_147
12197071,864_2_147
12197095,864_2_147
12197084,864_2_147
12197073,864_2_148
12197097,864_2_148
12197062,864_3_146
12197086,864_3_146
12197075,864_3_145
12197064,864_3_145
12197088,864_3_145
12197077,864_3_145
12197066,864_3_145
12197090,864_3_145
12197079,864_3_145
12197068,864_3_145
12197092,864_3_145
12197081,864_3_145
12197070,864_3_145
12197094,864_3_145
12197083,864_3_145
12197072,864_3_145
12197096,864_3_145
12197085,864_3_145
12197098,874_8_67
12197099,874_8_66
12197100,874_8_64
12197101,874_8_64
12197102,874_8_64
12197103,874_8_64
12197104,874_8_64
12197105,874_8_64
12197106,874_8_64
12197107,874_8_64
12197108,874_8_64
12197109,874_8_64
12197110,874_8_64
12197111,874_8_64
12197112,874_8_64
12197113,874_8_59
12197114,875_9_31
12197115,875_9_29
12197116,875_9_29
12197117,875_9_29
12197118,875_9_29
12197119,875_9_29
12197120,875_9_29
12197121,875_9_29
12197122,875_9_29
12197123,875_9_29
12197124,875_9_29
12197125,875_9_29
12197126,875_9_29
12197127,875_9_29
12197128,875_9_29
12197129,875_9_32
12197008,936_0_49
12197021,936_0_49
12197010,936_0_49
12197048,936_0_49
12197023,936_0_49
12197034,936_0_49
12197012,936_0_49
12197050,936_0_49
12197025,936_0_49
12197036,936_0_49
12197014,936_0_49
12197052,936_0_49
12197027,936_0_49
12197038,936_0_49
12197016,936_0_49
12197054,936_0_49
12197029,936_0_49
12197040,936_0_49
12197018,936_0_49
12197056,936_0_49
12197031,936_0_49
12197042,936_0_49
12197020,936_0_49
12197058,936_0_49
12197044,936_0_49
12197060,936_0_49
12197046,936_0_49
12197009,936_1_50
12197022,936_1_50
12197033,936_1_50
12197011,936_1_50
12197049,936_1_50
12197024,936_1_50
12197035,936_1_50
12197013,936_1_50
12197051,936_1_50
12197026,936_1_50
12197037,936_1_50
12197015,936_1_50
12197053,936_1_50
12197028,936_1_50
12197039,936_1_50
12197017,936_1_50
12197055,936_1_50
12197030,936_1_50
12197041,936_1_50
12197019,936_1_50
12197057,936_1_50
12197032,936_1_50
12197043,936_1_50
12197059,936_1_50
12197045,936_1_50
12197061,936_1_50
12197047,936_1_50
12196027,280_0_12
12196031,280_0_12
12196020,280_0_12
12196021,280_0_12
12196022,280_0_12
12196023,280_0_12
12196024,280_0_12
12196025,280_0_12
12196033,280_0_12
12196026,280_0_12
12196029,280_0_12
12196028,280_1_13
12196019,280_1_13
12196013,280_1_13
12196014,280_1_13
12196015,280_1_13
12196016,280_1_13
12196030,280_1_13
12196017,280_1_13
